Grundbuchamt/ Ort ;Anlage;Kaufpreis;Seite;Verkäufer:;Grundbuchblatt;Bezirk ;Eigentümer ;Rechtsnachfolger ;Ifd. Nummer ;Gemarkung;Flur ;Flurstück;Katastergröße (m^2);ca. Verkaufsgröße (m^2);WE - Nr.;SU - Nr.;falls zutreffend: Anteil;Bodenrichtwert 2024 (€/m^2);unknown_value;Bodenrichtwert 2016 ;Amnmerkungen Bodenrichtwert 2016 ;Grundstückspreise auf basis Bodenrichtwerte 2016;Adressen;comment;Nutzung laut Thelen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;6;ThyssenKrupp AG;17635;Dorsten;Hoesch AG;ThyssenKrupp AG;19;Dorsten;18;399;693;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;180.180,00;175;;121.275,00;Nelkenstraße 1, 46284 Dorsten;;Erbbaurecth Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;6;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;1;Dorsten;19;84;700;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;182.000,00;175;;122.500,00;Söltener Landweg 88, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;81;699;nicht genannt;93900;1235, 1367;nicht zutreffend ;260;181.740,00;175;;122.325,00;Söltener Landweg 82, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;80;699;nicht genannt;93900;1234;nicht zutreffend ;260;181.740,00;175;;122.325,00;Söltener Landweg 80, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;79;701;nicht genannt;93900;1233;nicht zutreffend ;260;182.260,00;175;;122.675,00;Söltener Landweg 78, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;107;625;nicht genannt;93900;1248;nicht zutreffend ;260;162.500,00;175;;109.375,00;Lilienstraße 1, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;103;519;nicht genannt;93900;1247;nicht zutreffend ;260;134.940,00;175;;90.825,00;Lilienstraße 9, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;102;22;nicht genannt;93900;1247;nicht zutreffend ;260;5.720,00;175;;3.850,00;Lilienstraße 3 und 7, 46284 Dorsten;Weg dazwischen ;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;97;601;nicht genannt;93900;1246;nicht zutreffend ;260;156.260,00;175;;105.175,00;Lilienstraße 15, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkannt;Dorsten;19;96;400;nicht genannt;93900;1245;nicht zutreffend ;260;104.000,00;175;;70.000,00;Lilienstraße 17, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;16;Dorsten;19;96;491;nicht genannt;93900;1244;nicht zutreffend ;260;127.660,00;175;;85.925,00;Lilienstraße 17, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
